,accept_socket,add_netjob,bind_socket,change_service_config,check_for_debugger,com_create_instance,com_createole_object,com_get_class_object,connect,connect_socket,control_service,copy_file,create_directory,create_file,create_interface,create_key,create_mailslot,create_mutex,create_namedpipe,create_open_file,create_process,create_process_as_user,create_process_nt,create_service,create_socket,create_thread,create_thread_remote,create_window,delete_file,delete_key,delete_service,delete_share,delete_value,destroy_window,download_file,download_file_to_cache,dump_line,enum_handles,enum_items,enum_keys,enum_modules,enum_processes,enum_services,enum_share,enum_subtypes,enum_types,enum_values,enum_window,exit_windows,find_file,find_window,get_computer_name,get_file_attributes,get_host_by_addr,get_host_by_name,get_system_directory,get_system_time,get_userinfo,get_username,get_windows_directory,impersonate_user,kill_process,listen_socket,load_dll,load_driver,load_image,logon_as_user,message,move_file,open_file,open_key,open_mutex,open_process,open_scmanager,open_service,open_url,process,query_value,read_section,read_value,recv_socket,remove_directory,revert_to_self,send_socket,set_file_attributes,set_file_time,set_system_time,set_thread_context,set_value,set_windows_hook,show_window,sleep,start_service,thread,trimmed_bytes,unload_driver,vm_allocate,vm_mapviewofsection,vm_protect,vm_read,vm_write,write_value
10,0,2,0,2,1,0,0,0,0,0,0,0,1,7,0,11,0,6,0,100,30,0,0,0,0,0,0,5,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,806,1,0,1234,0,0,21,5,0,0,32,0,17,0,549,0,18,0,0,0,146,234,0,0,6,6,0,18,54,0,10,0,0,0,0,18,4,0,0,31,3,1,41,0,18,0,0,0,0,0,0,0,0
11,0,0,0,0,3,57,0,11,0,0,0,4,10,93,0,7,0,18,0,11,1,0,0,0,0,26,0,39,20,5,0,0,2,65,0,0,0,0,0,34,0,192,0,0,0,0,20,84,0,49,32,14,133,0,3,44,5,0,1,0,0,2,0,226,0,3,0,0,0,53,677,4,20,2,2,0,3,571,1,6,0,1,0,0,20,15,0,0,28,22,4,192,0,18,0,0,0,0,119,0,0,0
12,0,0,0,0,2,34,0,3,0,0,0,0,3,12,0,1,0,16,0,6,2,0,0,0,3,7,0,30,1,0,0,0,0,42,0,0,0,0,0,26,0,0,0,1,0,0,12,54,0,1096,4,7,5279,0,6,36,1,0,2,0,2,1,0,127,0,2,0,0,0,44,5612,3,4,2,1,0,2,453,0,46,0,0,0,0,1,0,0,0,7,16,3,5202,0,4,0,0,0,0,104,0,0,0
13,0,0,0,1,0,0,0,0,0,3,1,0,0,1,0,0,0,1,0,4,0,0,0,0,4,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,4,3,0,0,0,0,0,0,0,52,0,2,0,0,2,5,6,0,2,4,3,0,1,8,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,2,0,0,0,0,0,0,0,0
14,0,0,0,0,2,13,0,1,0,0,0,0,0,1,0,0,0,9,0,3,1,0,0,0,0,9,0,13,0,0,0,0,0,7,0,0,0,0,0,4,0,0,0,0,0,0,1,18,0,7,4,1,49,0,0,16,0,0,0,2,0,2,0,122,0,2,0,0,0,24,121,1,9,0,0,0,1,247,0,56,0,0,0,0,1,1,0,0,10,2,6,4,0,4,0,0,0,0,56,0,0,0
15,0,0,0,0,2,13,0,1,0,0,0,0,0,1,0,0,0,9,0,3,1,0,0,0,0,8,0,13,0,0,0,0,0,7,0,0,0,0,0,4,0,0,0,0,0,0,1,18,0,7,6,1,33,0,0,17,0,0,0,2,0,2,0,117,0,2,0,0,0,25,121,1,10,0,0,0,1,247,0,32,0,0,0,0,1,1,0,0,10,2,6,5,0,4,0,0,0,0,56,0,0,0
16,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,2,0,8,0,0,0,0,0,42,0,0,0,0,0,4,0,0,0,0,0,0,1,49,0,6,4,0,7,0,0,13,0,0,0,2,0,2,0,84,0,2,0,0,0,14,96,0,4,0,0,0,1,242,0,0,0,0,0,0,0,0,0,0,0,2,4,4,0,2,0,0,0,0,36,0,0,0
17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,1,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,7,0,0,0,1,0,1,0,32,0,1,0,0,0,0,14,0,0,0,0,0,1,7,0,2,0,0,0,0,0,0,0,1,0,3,1,2,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,2,0,8,0,0,0,0,0,42,0,0,0,0,0,4,0,0,0,0,0,0,1,48,0,6,2,0,7,0,0,13,0,0,0,2,0,2,0,84,0,2,0,0,0,14,96,0,3,0,0,0,1,242,0,0,0,0,0,0,0,0,0,0,0,2,4,3,0,2,0,0,0,0,36,0,0,0
19,0,0,0,0,2,3,0,2,0,0,0,0,0,4,0,0,0,12,0,1,3,0,0,0,0,1,0,5,1,0,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,2,6,0,16,2,1,24,0,0,14,0,0,1,1,1,3,0,165,0,4,0,0,0,32,192,0,0,0,0,0,1,488,0,8,0,0,0,0,0,0,0,1,0,5,1,2,0,3,0,0,1,0,78,0,6,0
20,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,7,0,3,0,0,9,0,0,0,0,0,1,0,33,0,1,0,0,0,1,10,0,2,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,2,4,3,0,1,0,0,0,0,0,0,0,0
21,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,2,0,0,10,0,0,0,0,0,1,0,26,0,1,0,0,0,2,10,0,1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,1,3,0,0,0,0,0,1,0,54,0,2,0,0,0,4,12,0,0,0,0,0,1,12,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,3,0,0,8,0,121,0,5,0
23,0,0,0,0,26,3,0,8,0,3,0,0,3,1,0,1,0,18,0,17,1,0,0,0,5,11,0,20,0,0,0,0,0,1,0,0,210,0,0,8,0,0,0,0,0,0,9,6,0,18,3,6,75,0,2,24,0,0,0,4,0,1,0,124,0,2,0,0,0,122,179,3,1,2,2,0,4,233,0,4,11,0,17,7,0,0,0,0,1,8,3,2,0,8,10,0,0,0,76,0,0,2
24,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,2,0,0,9,0,0,0,0,0,1,0,26,0,1,0,0,0,2,10,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,4,2,0,0,0,0,0,0,195,0,0,1,1,21,0,201,3,0,0,0,4,22,0,5,9,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,2,0,5,0,4,10,0,2,21,6,0,0,1,0,4,0,207,0,6,2,0,0,1832,581,0,0,0,0,0,7,926,0,0,0,0,0,1,0,0,0,0,28,2,0,1809,0,18,0,0,0,0,222,0,0,0
26,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,2,0,7,0,5,1,0,0,0,2,6,2,3,0,0,0,0,0,0,0,0,26,0,0,4,0,0,0,0,0,0,1,1,0,6,0,6,3,0,3,13,0,0,2,0,3,1,0,67,0,1,0,0,0,14,511,1,0,2,1,1,2,534,0,0,1,0,0,1,0,0,0,0,14,2,0,0,0,2,1,0,8,0,65,0,5,0
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,0,6,0,5,3,0,0,0,6,0,3,84,8,0,6,0,31,0,44,10,0,0,0,11,12,6,6,653,1,0,0,6,0,0,0,1509,0,0,5,0,2,0,0,0,0,2,10,0,26,6,10,11,0,11,40,10,0,11,1,6,6,0,233,0,6,0,0,1,106,689,0,2,2,0,6,6,706,0,0,90,69,2,6,1,0,0,0,59,8,0,5,0,12,90,0,24,0,329,0,15,0
30,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,2,0,8,0,0,0,0,0,42,0,0,0,0,0,4,0,0,0,0,0,0,1,48,0,6,1,0,7,0,0,12,0,0,0,2,0,2,0,84,0,2,0,0,0,14,96,0,2,0,0,0,1,242,0,0,0,0,0,0,0,0,0,0,0,2,4,3,0,2,0,0,0,0,36,0,0,0
31,0,0,0,0,6,1,0,0,0,0,0,0,0,2,0,0,0,6,0,0,1,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,2,1,0,5,0,0,20,0,0,5,0,0,0,0,0,0,0,90,0,2,0,0,0,22,125,1,0,0,0,0,1,298,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,42,0,0,0
32,0,0,0,0,2,13,0,1,0,0,0,0,0,1,0,0,0,9,0,3,1,0,0,0,0,7,0,13,0,0,0,0,0,7,0,0,0,0,0,4,0,0,0,0,0,0,1,19,0,7,6,1,55,0,0,17,0,0,0,2,0,2,0,123,0,2,0,0,0,24,121,1,10,0,0,0,1,247,0,68,0,0,0,0,1,1,0,0,10,2,6,5,0,4,0,0,0,0,56,0,0,0
33,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,26,0,1,0,0,0,0,11,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,81,0,2,0,0,0,0,0,0,0,0,0,0,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,22,0,0,0
35,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,2,0,0,8,0,0,1,1,0,1,0,26,0,1,0,0,0,0,14,0,0,0,0,0,0,7,0,2,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0
36,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,2,0,8,0,0,0,0,0,42,0,0,0,0,0,4,0,0,0,0,0,0,1,48,0,6,4,0,7,0,0,13,0,0,0,2,0,2,0,84,0,2,0,0,0,14,96,0,4,0,0,0,1,242,0,0,0,0,0,0,0,0,0,0,0,2,4,3,0,2,0,0,0,0,36,0,0,0
37,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,2,0,8,0,0,0,0,0,42,0,0,0,0,0,4,0,0,0,0,0,0,1,48,0,6,1,0,7,0,0,12,0,0,0,2,0,2,0,84,0,2,0,0,0,14,96,0,2,0,0,0,1,242,0,0,0,0,0,0,0,0,0,0,0,2,4,2,0,2,0,0,0,0,36,0,0,0
38,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,2,0,8,0,0,0,0,0,42,0,0,0,0,0,4,0,0,0,0,0,0,1,48,0,6,6,0,7,0,0,14,0,0,0,2,0,2,0,84,0,2,0,0,0,14,96,0,6,0,0,0,1,242,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,2,0,0,0,0,36,0,0,0
39,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,2,0,2,0,0,8,0,0,0,1,0,1,0,27,0,1,0,0,0,1,17,0,1,0,0,0,0,9,0,2,0,0,0,0,0,0,0,0,0,3,3,2,0,0,0,0,0,0,0,0,0,0
40,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,1,0,0,9,0,0,0,0,0,1,0,30,0,1,0,0,0,0,10,0,1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0
41,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,6,0,12,193,0,0,0,0,1,0,6,1,4,0,0,0,20,0,0,0,0,0,4,45,8,0,0,0,0,1,22,0,36,0,0,17,0,0,12,4,0,0,2,0,1,0,107,0,2,0,0,0,20,118,0,43,0,0,0,1,254,0,11,0,0,0,0,7,0,0,0,21,4,1,108,0,3,0,0,0,0,42,0,0,0
42,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,1,0,0,8,0,0,0,0,0,1,0,33,0,1,0,0,0,1,10,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,2,4,2,0,1,0,0,0,0,0,0,0,0
43,0,0,1,0,1,3,0,0,1,1,0,1,0,0,0,2,0,9,0,9,0,0,0,0,5,4,0,4,0,0,0,0,0,0,0,0,64,0,0,4,0,0,0,0,0,0,0,4,0,6,0,5,5,0,8,6,1,0,2,0,3,0,0,94,0,2,0,0,0,21,90,1,0,3,4,4,1,37,0,0,3,0,0,1,0,0,0,0,15,8,0,1,0,1,4,0,0,0,62,0,0,0
44,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,2,0,8,0,0,0,0,0,42,0,0,0,0,0,4,0,0,0,0,0,0,1,47,0,6,4,0,7,0,0,13,0,0,0,2,0,2,0,84,0,2,0,0,0,14,96,0,5,0,0,0,1,242,0,0,0,0,0,0,0,0,0,0,0,2,4,2,0,2,0,0,0,0,36,0,0,0
45,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,2,0,0,8,0,0,1,1,0,1,0,26,0,1,0,0,0,0,14,0,0,0,0,0,0,7,0,2,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0
46,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,7,0,0,1,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,1,3,0,0,0,0,0,1,0,58,0,2,0,0,0,4,12,0,0,0,0,0,1,12,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,3,0,0,8,0,121,0,5,0
47,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,2,0,8,0,0,0,0,0,42,0,0,0,0,0,4,0,0,0,0,0,0,1,49,0,6,5,0,7,0,0,13,0,0,0,2,0,2,0,84,0,2,0,0,0,14,96,0,4,0,0,0,1,242,0,0,0,0,0,0,0,0,0,0,0,2,4,2,0,2,0,0,0,0,36,0,0,0
48,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,8,0,3,0,0,13,0,0,0,0,0,1,0,33,0,1,0,0,0,1,10,0,5,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,2,0,8,0,0,0,0,0,42,0,0,0,0,0,4,0,0,0,0,0,0,1,47,0,6,4,0,7,0,0,14,0,0,0,2,0,2,0,84,0,2,0,0,0,14,96,0,5,0,0,0,1,242,0,0,0,0,0,0,0,0,0,0,0,2,4,3,0,2,0,0,0,0,36,0,0,0
50,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,2,0,8,0,0,0,0,0,42,0,0,0,0,0,4,0,0,0,0,0,0,1,47,0,6,2,0,7,0,0,13,0,0,0,2,0,2,0,84,0,2,0,0,0,14,96,0,3,0,0,0,1,242,0,0,0,0,0,0,0,0,0,0,0,2,4,2,0,2,0,0,0,0,36,0,0,0
51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,150,0,3,0,0,0,1,3,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,0,0,1,0,7,0,4,0
52,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,4,0,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,2,2,0,42,0,0,12,0,0,0,0,0,0,0,101,0,2,0,0,0,5,22,0,2,1,1,0,0,14,0,41,0,0,0,0,0,0,0,0,0,3,3,0,0,1,0,0,0,0,42,0,0,0
53,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,6,0,0,1,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,1,4,2,0,0,0,0,1,0,50,0,2,0,0,0,4,12,0,0,0,0,0,1,12,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,3,0,0,8,0,131,0,5,0
54,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,6,0,12,193,0,0,0,0,1,0,6,1,4,0,0,0,20,0,0,0,0,0,4,45,8,0,0,0,0,1,22,0,36,0,0,17,0,0,12,4,0,0,2,0,1,0,107,0,2,0,0,0,20,118,0,43,0,0,0,1,254,0,11,0,0,0,0,7,0,0,0,21,4,1,108,0,3,0,0,0,0,42,0,0,0
55,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,2,0,8,0,0,0,0,0,42,0,0,0,0,0,4,0,0,0,0,0,0,1,47,0,6,1,0,7,0,0,13,0,0,0,2,0,2,0,84,0,2,0,0,0,14,96,0,2,0,0,0,1,242,0,0,0,0,0,0,0,0,0,0,0,2,4,6,0,2,0,0,0,0,36,0,0,0
56,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,2,0,8,0,0,0,0,0,42,0,0,0,0,0,4,0,0,0,0,0,0,1,48,0,6,1,0,6,0,0,11,0,0,0,2,0,1,0,80,0,2,0,0,0,12,95,0,0,0,0,0,1,242,0,0,0,0,0,0,0,0,0,0,0,2,4,3,0,3,0,0,0,0,36,0,0,0
57,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,6,0,6,3,0,2,5,0,0,0,0,3,0,0,88,0,2,0,0,0,7,329,1,0,2,1,0,2,136,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,7,0,0,0,0,8,0,0,0
58,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,2,0,0,8,0,0,1,1,0,1,0,26,0,1,0,0,0,0,14,0,0,0,0,0,0,7,0,2,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0
59,0,0,0,0,67,11,0,1,0,0,0,0,16,781,0,13,0,30,0,0,5,0,0,0,0,29,0,7,18,2,0,0,0,0,0,0,0,0,0,183,0,0,0,0,0,0,20,12,0,71,0,5,224,0,0,22,755,0,0,11,0,6,0,330,0,7,0,0,10,949,1385,4,4,0,0,0,4,2337,0,6,0,10,0,0,10,0,0,0,86,14,0,9,0,19,0,0,0,0,96,0,0,0
60,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,0,0,10,0,0,0,0,0,1,0,20,0,1,0,0,0,1,10,0,2,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0
61,0,0,3,0,3,115,0,14,0,3,0,0,7,14,0,6,0,21,0,4,8,0,0,1,4,15,0,97,4,0,0,0,0,88,0,0,1189,0,0,77,86,2,0,1,0,0,118,210,0,67,21,9,122,0,2,81,28,0,3,2,4,1,0,217,0,3,0,0,0,766,58978,2,23,4,2,0,3,1805,1,45,46,0,0,75,16,8,0,0,91,15,27,9,0,11,54,0,0,0,84,0,0,0
